x;y;dX;dY;grounded;jumping;doubleJumping;wallJumpingLeft;wallJumpingRight;wallJumping;collision.left;collision.right;collision.top;collision.bottom 
579;585.117907411;-2.284728857504453;5.117907411;false;false;false;false;false;false;false;false;false;true
579;585.5871166699;-1.850630374578607;5.5871166699;false;false;false;false;false;false;false;false;false;true
579;586.00940500291;-1.4990106034086719;6.00940500291;false;false;false;false;false;false;false;false;false;true
579;586.389464502619;-1.2141985887610243;6.389464502619;false;false;false;false;false;false;false;false;false;true
579;586.731518052357;-0.9835008568964297;6.7315180523571;false;false;false;false;false;false;false;false;false;true
579;587.0393662471214;-0.7966356940861081;7.03936624712139;false;false;false;false;false;false;false;false;false;true
579;587.3164296224093;-0.6452749122097476;7.3164296224092515;false;false;false;false;false;false;false;false;false;true
579;587.5657866601683;-0.5226726788898955;7.565786660168326;false;false;false;false;false;false;false;false;false;true
579;587.7902079941515;-0.4233648699008154;7.790207994151494;false;false;false;false;false;false;false;false;false;true
579;587.9921871947363;-0.3429255446196605;7.992187194736345;false;false;false;false;false;false;false;false;false;true
579;588.1739684752627;-0.277769691141925;8.173968475262711;false;false;false;false;false;false;false;false;false;true
579;588.3375716277365;-0.22499344982495925;8.337571627736441;false;false;false;false;false;false;false;false;false;true
579;588.4848144649628;-0.182244694358217;8.484814464962797;false;false;false;false;false;false;false;false;false;true
579;588.6173330184665;-0.14761820243015578;8.617333018466518;false;false;false;false;false;false;false;false;false;true
579;588.7365997166198;-0.1195707439684262;8.736599716619866;false;false;false;false;false;false;false;false;false;true
579;588.8439397449579;-0.09685230261442522;8.84393974495788;false;false;false;false;false;false;false;false;false;true
579;588.9405457704621;-0.07845036511768443;8.940545770462093;false;false;false;false;false;false;false;false;false;true
579;589.0274911934159;-0.06354479574532439;9.027491193415884;false;false;false;false;false;false;false;false;false;true
579;589.1057420740743;-0.051471284553712755;9.105742074074296;false;false;false;false;false;false;false;false;false;true
579;589.1761678666669;-0.04169174048850733;9.176167866666868;false;false;false;false;false;false;false;false;false;true
579;589.2395510800002;-0.033770309795690935;9.239551080000181;false;false;false;false;false;false;false;false;false;true
579;589.2965959720002;-0.02735395093450966;9.296595972000164;false;false;false;false;false;false;false;false;false;true
579;589.3479363748002;-0.022156700256952825;9.347936374800147;false;false;false;false;false;false;false;false;false;true
579;589.3941427373202;-0.017946927208131788;9.394142737320132;false;false;false;false;false;false;false;false;false;true
579;589.4357284635881;-0.014537011038586749;9.43572846358812;false;false;false;false;false;false;false;false;false;true
579;589.4731556172293;-0.011774978941255267;9.473155617229308;false;false;false;false;false;false;false;false;false;true
579;589.5068400555064;-0.009537732942416766;9.506840055506377;false;false;false;false;false;false;false;false;false;true
579;589.5371560499557;-0.007725563683357582;9.537156049955739;false;false;false;false;false;false;false;false;false;true
579;589.5644404449602;-0.0062577065835196415;9.564440444960164;false;false;false;false;false;false;false;false;false;true
1408;594.4200000000002;2.82429536481;19.24000000000001;false;false;false;false;false;false;false;false;false;true
1407;593.4770000000002;2.2876792454961;18.29700000000001;false;false;false;false;false;false;false;false;false;true
1407;592.6283000000002;1.853020188851841;17.448300000000014;false;false;false;false;false;false;false;false;false;true
1407;591.8644700000002;1.5009463529699911;16.684470000000015;false;false;false;false;false;false;false;false;false;true
1407;591.1770230000002;1.2157665459056928;15.997023000000015;false;false;false;false;false;false;false;false;false;true
1407;590.5583207000002;0.9847709021836112;15.378320700000014;false;false;false;false;false;false;false;false;false;true
1407;590.0014886300002;0.7976644307687251;14.821488630000013;false;false;false;false;false;false;false;false;false;true
1623;594.4200000000002;0.6461081889226673;19.24000000000001;false;false;false;false;false;false;false;false;false;true
1623;593.4770000000002;0.5233476330273605;18.29700000000001;false;false;false;false;false;false;false;false;false;true
1623;592.6283000000002;0.423911582752162;17.448300000000014;false;false;false;false;false;false;false;false;false;true
1623;591.8644700000002;0.34336838202925124;16.684470000000015;false;false;false;false;false;false;false;false;false;true
1623;591.1770230000002;0.27812838944369356;15.997023000000015;false;false;false;false;false;false;false;false;false;true
1623;590.5583207000002;0.2252839954493918;15.378320700000014;false;false;false;false;false;false;false;false;false;true
1623;590.0014886300002;0.18248003631400736;14.821488630000013;false;false;false;false;false;false;false;false;false;true
2348;494.4200000000002;0.47101286972462447;19.24000000000001;false;false;false;false;false;false;false;false;false;true
2348;493.4770000000002;0.38152042447694584;18.29700000000001;false;false;false;false;false;false;false;false;false;true
2348;492.6283000000002;0.30903154382632614;17.448300000000014;false;false;false;false;false;false;false;false;false;true
2348;491.8644700000002;0.2503155504993242;16.684470000000015;false;false;false;false;false;false;false;false;false;true
2348;491.1770230000002;0.2027555959044526;15.997023000000015;false;false;false;false;false;false;false;false;false;true
2348;490.5583207000002;0.16423203268260664;15.378320700000014;false;false;false;false;false;false;false;false;false;true
2348;490.0014886300002;0.13302794647291138;14.821488630000013;false;false;false;false;false;false;false;false;false;true
1991;494.4200000000002;-9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
